id,created_at,text
1219628757981499393,Tue Jan 21 14:32:10 +0000 2020,RT @aurorab933: Tres noticias que se entienden mejor juntas.Tienen que tener contento a Maduro no vaya a ser que hable más de la cuenta. C…,
1219628758505873408,Tue Jan 21 14:32:10 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628760162545671,Tue Jan 21 14:32:10 +0000 2020,RT @hugomanchon: Carmen Calvo responde a la RAE: “El lenguaje inclusivo no hay quien lo pare”.Para que se entienda: aquí manda el PSOE y…,
1219628766005252096,Tue Jan 21 14:32:12 +0000 2020,RT @BlaancaNiieves: Joder con los patriotas la cubana y el calzonazos cortijero vaya educación que están dando a sus 4 hijos https://…,
1219628768198873095,Tue Jan 21 14:32:12 +0000 2020,RT @PSOE: 🏛️ @mjmonteroc sobre el veto educativo: Todavía hay partidos que en pleno siglo XXI ni defienden la escuela pública ni respetan…,
1219628768924442624,Tue Jan 21 14:32:12 +0000 2020,RT @Jorgebuxade: ¿Indulto fraudulento por la puerta de atrás?Aprobarán ley que permita la salida inmediata de los golpistas condenados y…,
1219628774276333568,Tue Jan 21 14:32:14 +0000 2020,RT @fjconpe: La LODE (1985) hablaba en su art. 18 de "neutralidad ideológica" de la enseñanza y del "respeto a las opciones religiosas y mo…,
1219628775639519233,Tue Jan 21 14:32:14 +0000 2020,@PSOE Muy de acuerdo,
1219628778248380416,Tue Jan 21 14:32:14 +0000 2020,RT @usuariocastilla: Oye que dice el gobierno del psoe q el pp se deja arrastrar por la ultraderecha el mismo día que firman un pacto hist…,
1219628780446191616,Tue Jan 21 14:32:15 +0000 2020,RT @PSOE: 🏛 El #CMin ha aprobado un Acuerdo sobre las entregas a cuenta de las CCAA en 2020.Una muestra más del compromiso de este Ejecut…,
1219628785731063820,Tue Jan 21 14:32:16 +0000 2020,RT @jordi_canyas: Tranquilo. No hay clases en castellano y Felipe II aquí es una calle. Gracias al @PSOE @socialistes_cat De nada.,
1219628793641472000,Tue Jan 21 14:32:18 +0000 2020,RT @PSOE: 🏛️ @mjmonteroc: Hoy es el primer #CMin en martes algo que no ocurría desde hace décadas. Se hace para ganar anticipación y dinam…,
1219628794899763201,Tue Jan 21 14:32:18 +0000 2020,RT @Con52Gigantes: Prisión para el líder de la juventud del @PSOE  en Elche por abusar de una niña de 2 añoshttps://t.co/oUylmfGvZC,
1219628797105971200,Tue Jan 21 14:32:19 +0000 2020,RT @Emma1492is: Decía Carlos Herrera que sí gobernaba PSOE-Podemos pedía asilo en Somalía. 🤦‍♀Y  está negociando para volver a Canal Sur…,
1219628803456106502,Tue Jan 21 14:32:21 +0000 2020,RT @Con52Gigantes: Vox llega a 60 escaños el único partido que crece tras el pacto de Gobierno entre PSOE y Podemos @DebatAlRojoVivo  🤣🤣🤣🖕…,
